store_id,month,ca,type
ONLINE,2026-01,189833.796875,réel
ONLINE,2026-02,160468.296875,réel
ONLINE,2026-03,188112.5625,réel
ONLINE,2026-04,184258.1875,réel
ONLINE,2026-05,217836.90625,réel
ONLINE,2026-06,199774.4375,réel
ONLINE,2026-07,217618.4353885558,prévision
ONLINE,2026-08,244196.76107115316,prévision
ONLINE,2026-09,249497.66625543695,prévision
ONLINE,2026-10,253641.77858783127,prévision
ONLINE,2026-11,255485.38855479498,prévision
ONLINE,2026-12,275458.8075345353,prévision
S01,2026-01,85333.25,réel
S01,2026-02,78184.7421875,réel
S01,2026-03,89127.0625,réel
S01,2026-04,87529.8125,réel
S01,2026-05,89807.5078125,réel
S01,2026-06,88891.296875,réel
S01,2026-07,92138.39175026557,prévision
S01,2026-08,94705.94631384652,prévision
S01,2026-09,91357.39457171827,prévision
S01,2026-10,93999.97561905046,prévision
S01,2026-11,89446.73105326945,prévision
S01,2026-12,100368.81484848866,prévision
S02,2026-01,75715.4375,réel
S02,2026-02,66206.0,réel
S02,2026-03,78104.203125,réel
S02,2026-04,81901.2578125,réel
S02,2026-05,78558.140625,réel
S02,2026-06,79581.2265625,réel
S02,2026-07,80104.23447543631,prévision
S02,2026-08,80184.5427196792,prévision
S02,2026-09,76309.92734841573,prévision
S02,2026-10,78574.71405971977,prévision
S02,2026-11,74715.59182621918,prévision
S02,2026-12,87487.24886066945,prévision
S03,2026-01,77758.5625,réel
S03,2026-02,66879.4375,réel
S03,2026-03,81319.296875,réel
S03,2026-04,75005.6015625,réel
S03,2026-05,79936.921875,réel
S03,2026-06,80094.609375,réel
S03,2026-07,77903.18467446492,prévision
S03,2026-08,76721.81031835289,prévision
S03,2026-09,72713.40717961254,prévision
S03,2026-10,74969.95158957235,prévision
S03,2026-11,71032.57848700733,prévision
S03,2026-12,84671.78664960629,prévision
S04,2026-01,66131.0,réel
S04,2026-02,68335.5625,réel
S04,2026-03,76547.5625,réel
S04,2026-04,73543.171875,réel
S04,2026-05,74932.46875,réel
S04,2026-06,75843.2421875,réel
S04,2026-07,72270.47377481901,prévision
S04,2026-08,69905.50441155654,prévision
S04,2026-09,65768.39636667809,prévision
S04,2026-10,67883.14160372397,prévision
S04,2026-11,65255.217000368226,prévision
S04,2026-12,79703.8586909042,prévision
S05,2026-01,64820.03125,réel
S05,2026-02,56861.98046875,réel
S05,2026-03,63181.26953125,réel
S05,2026-04,64251.69140625,réel
S05,2026-05,67519.8671875,réel
S05,2026-06,61524.51953125,réel
S05,2026-07,60689.874281994846,prévision
S05,2026-08,58941.73532540328,prévision
S05,2026-09,55806.23827280539,prévision
S05,2026-10,57324.25557925912,prévision
S05,2026-11,54777.66299869219,prévision
S05,2026-12,64597.14704231827,prévision
S06,2026-01,56298.03125,réel
S06,2026-02,51111.55078125,réel
S06,2026-03,56325.1484375,réel
S06,2026-04,55801.87890625,réel
S06,2026-05,57196.390625,réel
S06,2026-06,62094.5,réel
S06,2026-07,54159.44002326549,prévision
S06,2026-08,50847.95034492162,prévision
S06,2026-09,47565.875068607806,prévision
S06,2026-10,48189.69380317801,prévision
S06,2026-11,46131.48177532951,prévision
S06,2026-12,54276.21403204215,prévision
S07,2026-01,52907.44140625,réel
S07,2026-02,46603.16015625,réel
S07,2026-03,57531.671875,réel
S07,2026-04,48830.19140625,réel
S07,2026-05,47845.73046875,réel
S07,2026-06,53887.26953125,réel
S07,2026-07,49853.69979156952,prévision
S07,2026-08,47023.65525596004,prévision
S07,2026-09,47368.19171051569,prévision
S07,2026-10,50127.34115012639,prévision
S07,2026-11,44449.81499327401,prévision
S07,2026-12,52938.16287523305,prévision
S08,2026-01,47565.5703125,réel
S08,2026-02,41872.66015625,réel
S08,2026-03,50425.7890625,réel
S08,2026-04,52803.26953125,réel
S08,2026-05,49347.5390625,réel
S08,2026-06,49816.37109375,réel
S08,2026-07,47930.28024208113,prévision
S08,2026-08,45514.31749717207,prévision
S08,2026-09,45143.93960999348,prévision
S08,2026-10,47513.07045195717,prévision
S08,2026-11,42482.28488001255,prévision
S08,2026-12,50771.11531033595,prévision
S09,2026-01,35034.9609375,réel
S09,2026-02,29986.279296875,réel
S09,2026-03,33914.328125,réel
S09,2026-04,33873.16015625,réel
