store_id,WAPE_hybride,WAPE_naive,biais_pct_hybride,volume_reel
ONLINE,0.6148402924218608,0.8163882259347653,-0.13348865496317686,43995.0
S01,0.6805100913582081,0.8813178023296505,-0.06157486467671547,20003.0
S02,0.6647932030778417,0.9306465705548275,-0.07842605203108266,18312.0
S03,0.6683517351819759,0.9139043381535039,-0.07215117547059424,17980.0
S04,0.7139696191895316,1.006495068559057,-0.05445819723666012,16628.0
S05,0.7164896201608537,0.961276097292083,-0.05754682619078699,14513.0
S06,0.7409558536916512,0.9778665846910544,-0.04380839886597232,13012.0
S07,0.7059683338809403,0.9600490625547573,-0.03923875669369803,11414.0
S08,0.7166493164122846,0.9663716814159292,-0.06309165538830874,11300.0
S09,0.8095696238942256,1.1174746936600959,-0.02070162527029229,7508.0
S10,0.7792275006083577,1.0875,-0.027573943737711493,7840.0
S11,0.7902978119755786,1.046132596685083,-0.05730055945854584,7240.0
S12,0.8459895264328346,1.099168161800685,-0.04393812171081779,6131.0
